agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
VBB,Verkehrsverbund Brandenburg-Berlin,http://www.vbb.de,Europe/Berlin,de,
ANG---,Günter Anger Güterverkehrs GmbH & Co. Omnibusvermietung KG,http://www.anger-busvermietung.de,Europe/Berlin,de,033208 22010
BEH---,Fritz Behrendt OHG,http://www.behrendt-touristik.de,Europe/Berlin,de,0331 7491400
BMO---,Busverkehr Märkisch-Oderland GmbH,http://www.busmol.de,Europe/Berlin,de,03341 478383
BON---,Busverkehr Oder-Spree GmbH,http://www.bos-fw.de,Europe/Berlin,de,03361 556133
BRB---,Verkehrsbetriebe Brandenburg an der Havel GmbH,http://www.vbbr.de,Europe/Berlin,de,03381 5340
BRT---,Verkehrsbetriebe Brandenburg an der Havel GmbH,http://www.vbbr.de,Europe/Berlin,de,03381 5340
BTS___,Barnimer Busgesellschaft mbH,http://www.bbg-eberswalde.de,Europe/Berlin,de,03334 235003
BVB---,Berliner Verkehrsbetriebe,http://www.bvg.de,Europe/Berlin,de,030 19449
BVF---,Berliner Verkehrsbetriebe,http://www.bvg.de,Europe/Berlin,de,030 19449
BVSG__,Beelitzer Verkehrs- und Servicegesellschaft mbH,http://www.havelbus.de,Europe/Berlin,de,033204 35688
BVT---,Berliner Verkehrsbetriebe,http://www.bvg.de,Europe/Berlin,de,030 19449
BVU---,Berliner Verkehrsbetriebe,http://www.bvg.de,Europe/Berlin,de,030 19449
CNB---,Cottbusverkehr GmbH,http://www.cottbusverkehr.de,Europe/Berlin,de,0355 8662422
CNT---,Cottbusverkehr GmbH,http://www.cottbusverkehr.de,Europe/Berlin,de,0355 8662422
DBS---,S-Bahn Berlin GmbH,http://www.s-bahn-berlin.de,Europe/Berlin,de,030 29743333
ENVB__,Verkehrsmanagement Elbe-Elster GmbH,http://www.verkehrsmanagement-elbeelster.de,Europe/Berlin,de,03531 650010
FFB---,Stadtverkehrsgesellschaft mbH Frankfurt (Oder),http://www.svf-ffo.de,Europe/Berlin,de,0800 5566 888
FFT---,Stadtverkehrsgesellschaft mbH Frankfurt (Oder),http://www.svf-ffo.de,Europe/Berlin,de,0800 5566 888
GLA---,Glaser,http://www.busreisen-glaser.de,Europe/Berlin,de,033841 99222
HANS--,Hanseatische Eisenbahn,http://www.hanseatische-eisenbahn.de/,Europe/Berlin,de,0331 27978391
HVG---,Havelbus Verkehrsgesellschaft mbH,http://www.havelbus.de,Europe/Berlin,de,0331 7491400
Haru--,HARU Reisen OHG Hans Rudek,http://www.harureisen.de,Europe/Berlin,de,030 35195210
LANGE-,Lange,http://www.lange-tours.de,Europe/Berlin,de,033841 99222
LEH---,Lehmann Reisen GmbH,http://www.lehmannreisen.de/,Europe/Berlin,de,035365 2102
N01---,DB Regio AG,http://www.bahn.de/brandenburg,Europe/Berlin,de,0331 2356881
N04---,DB Regio AG,http://www.bahn.de/brandenburg,Europe/Berlin,de,0331 2356881
NBB---,DB Regio AG,http://www.bahn.de/brandenburg,Europe/Berlin,de,0331 2356881
NBW---,DB Regio AG,http://www.bahn.de/brandenburg,Europe/Berlin,de,0331 2356881
NEB---,NEB Betriebsgesellschaft mbH,http://www.neb.de,Europe/Berlin,de,030 396011344
ODBUS_,ODEG Ostdeutsche Eisenbahn GmbH,http://www.odeg.de,Europe/Berlin,de,030 514888888
ODEN__,ODEG Ostdeutsche Eisenbahn GmbH,http://www.odeg.de,Europe/Berlin,de,030 514888888
ODRE2_,ODEG Ostdeutsche Eisenbahn GmbH,http://www.odeg.de,Europe/Berlin,de,030 514888888
ODRE4_,ODEG Ostdeutsche Eisenbahn GmbH,http://www.odeg.de,Europe/Berlin,de,030 514888888
ODSNN_,ODEG Ostdeutsche Eisenbahn GmbH,http://www.odeg.de,Europe/Berlin,de,030 514888888
ORPN--,ORP Ostprignitz-Ruppiner Personennahverkehrsgesellschaft mbH,http://www.orp-busse.de,Europe/Berlin,de,01805 899677
