"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,1,1,1,1,0,0,20161211,20170903
2,0,0,0,0,0,1,0,20161211,20170903
3,0,0,0,0,0,0,1,20161211,20170903
4,0,0,0,0,0,1,1,20161211,20170903
5,0,0,0,0,0,0,0,20161211,20170903
6,0,0,0,0,0,0,0,20161211,20170903
7,0,0,0,0,1,1,0,20161211,20170903
8,0,0,0,0,0,0,0,20161211,20170903
9,0,1,0,1,0,0,0,20161211,20170903
10,0,0,1,0,1,0,0,20161211,20170903
11,0,0,0,0,0,1,0,20161211,20170903
12,0,0,0,0,0,0,0,20161211,20170903
13,1,1,1,1,1,1,1,20161211,20170903
14,0,0,0,0,1,1,0,20161211,20170903
15,1,1,1,1,0,0,1,20161211,20170903
16,0,0,0,0,0,0,1,20161211,20170903
17,1,1,1,1,1,0,0,20161211,20170903
18,1,1,1,1,1,1,1,20161211,20170903
19,0,0,0,0,0,1,1,20161211,20170903
20,0,0,0,0,0,0,0,20161211,20170903
21,1,1,1,1,1,0,0,20161211,20170903
22,0,0,1,0,1,0,0,20161211,20170903
23,0,0,1,1,0,0,0,20161211,20170903
24,0,0,1,0,0,0,0,20161211,20170903
25,1,0,0,0,0,0,0,20161211,20170903
26,0,1,1,1,1,0,0,20161211,20170903
27,0,0,0,0,1,0,0,20161211,20170903
28,1,1,1,1,0,0,0,20161211,20170903
29,1,1,1,1,1,0,0,20161211,20170903
30,0,0,0,0,0,1,0,20161211,20170903
31,0,0,0,0,0,0,1,20161211,20170903
32,0,0,0,0,0,1,1,20161211,20170903
33,1,1,1,1,1,1,1,20161211,20170903
34,0,0,0,0,1,1,0,20161211,20170903
35,0,0,0,0,0,1,1,20161211,20170903
36,1,1,1,1,0,0,1,20161211,20170903
37,0,0,0,0,0,0,0,20161211,20170903
38,0,0,0,0,0,1,0,20161211,20170903
39,0,0,0,0,0,0,0,20161211,20170903
40,0,0,0,0,0,1,1,20161211,20170903
41,0,0,0,0,0,0,0,20161211,20170903
42,1,1,1,1,1,0,0,20161211,20170903
43,0,0,0,0,0,0,0,20161211,20170903
44,0,0,0,0,0,0,0,20161211,20170903
45,0,0,0,0,0,0,0,20161211,20170903
46,0,0,0,0,0,0,0,20161211,20170903
47,1,1,1,1,1,1,1,20161211,20170903
48,1,1,1,1,1,0,0,20161211,20170903
49,0,0,0,0,0,1,1,20161211,20170903
50,0,0,0,0,0,0,0,20161211,20170903
51,0,0,0,0,0,0,0,20161211,20170903
52,0,0,0,0,0,0,0,20161211,20170903
53,0,0,0,0,0,0,0,20161211,20170903
54,0,0,0,0,0,0,0,20161211,20170903
55,0,0,0,0,0,0,0,20161211,20170903
56,0,0,0,0,0,0,0,20161211,20170903
57,0,0,0,0,0,0,0,20161211,20170903
58,0,0,0,0,0,0,0,20161211,20170903
59,0,0,0,0,0,0,0,20161211,20170903
60,0,0,0,0,0,0,0,20161211,20170903
61,0,0,0,0,0,0,0,20161211,20170903
62,0,0,0,0,0,0,0,20161211,20170903
63,0,0,0,0,0,0,0,20161211,20170903
64,0,0,0,0,0,0,0,20161211,20170903
65,1,1,1,1,1,0,0,20161211,20170903
66,1,1,1,1,1,1,1,20161211,20170903
67,0,0,0,0,0,0,0,20161211,20170903
68,0,0,0,0,0,0,0,20161211,20170903
69,0,0,0,0,0,0,0,20161211,20170903
70,1,1,1,1,1,0,0,20161211,20170903
71,1,1,1,1,1,1,1,20161211,20170903
72,0,1,0,1,0,0,0,20161211,20170903
73,0,0,1,1,1,0,0,20161211,20170903
74,1,1,0,0,0,0,0,20161211,20170903
75,1,1,0,1,0,0,0,20161211,20170903
76,1,1,1,1,0,0,0,20161211,20170903
77,0,0,0,0,1,0,0,20161211,20170903
78,0,0,0,0,0,1,0,20161211,20170903
79,1,0,1,0,1,0,0,20161211,20170903
80,1,1,0,1,1,0,0,20161211,20170903
81,0,0,1,0,0,0,0,20161211,20170903
82,1,1,1,0,1,0,0,20161211,20170903
83,0,0,0,1,0,0,0,20161211,20170903
84,0,0,0,0,0,0,0,20161211,20170903
85,0,0,0,0,0,0,0,20161211,20170903
86,0,0,0,1,0,0,0,20161211,20170903
87,1,1,1,0,1,0,0,20161211,20170903
88,1,0,1,0,0,0,0,20161211,20170903
89,0,1,0,1,1,0,0,20161211,20170903
90,0,0,0,0,0,0,0,20161211,20170903
91,0,1,0,1,1,0,0,20161211,20170903
92,0,0,0,0,0,0,0,20161211,20170903
93,1,1,1,1,1,0,0,20161211,20170903
94,0,0,0,0,0,0,0,20161211,20170903
95,1,1,1,1,1,0,0,20161211,20170903
96,0,0,0,0,0,0,0,20161211,20170903
97,0,0,0,0,0,0,0,20161211,20170903
98,0,0,0,0,0,0,0,20161211,20170903
99,0,0,0,0,0,0,0,20161211,20170903
100,0,0,0,0,0,0,0,20161211,20170903
101,0,1,0,1,1,0,0,20161211,20170903
102,0,0,0,0,0,0,0,20161211,20170903
103,1,1,0,1,1,0,0,20161211,20170903
104,0,0,0,0,0,0,0,20161211,20170903
105,0,0,0,0,0,1,1,20161211,20170903
106,1,1,1,1,1,1,0,20161211,20170903
107,0,0,0,0,0,0,0,20161211,20170903
108,0,0,0,0,0,0,0,20161211,20170903
109,0,0,0,0,0,0,0,20161211,20170903
110,0,0,0,0,0,0,0,20161211,20170903
111,0,0,0,0,0,0,0,20161211,20170903
112,0,0,0,0,0,0,0,20161211,20170903
113,0,0,0,0,0,0,0,20161211,20170903
114,0,0,0,0,0,0,0,20161211,20170903
115,0,0,0,0,0,0,0,20161211,20170903
116,0,0,0,0,0,0,0,20161211,20170903
