"service_id","date","exception_type"
1,20161212,1
1,20161219,1
1,20170102,1
1,20170109,1
1,20170116,1
1,20170123,1
1,20170130,1
1,20170206,1
1,20170213,1
1,20170220,1
1,20170227,1
1,20170306,1
1,20170313,1
1,20170320,1
1,20170327,1
1,20170403,1
1,20170410,1
1,20170424,1
1,20170502,2
1,20170509,2
1,20170516,2
1,20170523,2
1,20170530,2
1,20170606,2
1,20170613,2
1,20170620,2
1,20170627,2
1,20170704,2
1,20170711,2
1,20170718,2
1,20170725,2
1,20170801,2
1,20170808,2
1,20170815,2
1,20170822,2
1,20170829,2
1,20170503,2
1,20170510,2
1,20170517,2
1,20170524,2
1,20170531,2
1,20170607,2
1,20170614,2
1,20170621,2
1,20170628,2
1,20170705,2
1,20170712,2
1,20170719,2
1,20170726,2
1,20170802,2
1,20170809,2
1,20170816,2
1,20170823,2
1,20170830,2
1,20170504,2
1,20170511,2
1,20170518,2
1,20170525,2
1,20170601,2
1,20170608,2
1,20170615,2
1,20170622,2
1,20170629,2
1,20170706,2
1,20170713,2
1,20170720,2
1,20170727,2
1,20170803,2
1,20170810,2
1,20170817,2
1,20170824,2
1,20170831,2
1,20170414,2
1,20170505,2
1,20170512,2
1,20170519,2
1,20170526,2
1,20170602,2
1,20170609,2
1,20170616,2
1,20170623,2
1,20170630,2
1,20170707,2
1,20170714,2
1,20170721,2
1,20170728,2
1,20170804,2
1,20170811,2
1,20170818,2
1,20170825,2
1,20170901,2
2,20170506,2
2,20170513,2
2,20170520,2
2,20170527,2
2,20170603,2
2,20170610,2
2,20170617,2
2,20170624,2
2,20170701,2
2,20170708,2
2,20170715,2
2,20170722,2
2,20170729,2
2,20170805,2
2,20170812,2
2,20170819,2
2,20170826,2
2,20170902,2
3,20161226,1
3,20170417,1
3,20170414,1
3,20170507,2
3,20170514,2
3,20170521,2
3,20170528,2
3,20170604,2
3,20170611,2
3,20170618,2
3,20170625,2
3,20170702,2
3,20170709,2
3,20170716,2
3,20170723,2
3,20170730,2
3,20170806,2
3,20170813,2
3,20170820,2
3,20170827,2
3,20170903,2
4,20161226,1
4,20170417,1
4,20170414,1
4,20170506,2
4,20170513,2
4,20170520,2
4,20170527,2
4,20170603,2
4,20170610,2
4,20170617,2
4,20170624,2
4,20170701,2
4,20170708,2
4,20170715,2
4,20170722,2
4,20170729,2
4,20170805,2
4,20170812,2
4,20170819,2
4,20170826,2
4,20170902,2
4,20170507,2
4,20170514,2
4,20170521,2
4,20170528,2
4,20170604,2
4,20170611,2
4,20170618,2
4,20170625,2
4,20170702,2
4,20170709,2
4,20170716,2
4,20170723,2
4,20170730,2
4,20170806,2
4,20170813,2
4,20170820,2
4,20170827,2
4,20170903,2
5,20161212,1
5,20161219,1
5,20170109,1
5,20170116,1
5,20170123,1
5,20170206,1
5,20170213,1
5,20170220,1
5,20170227,1
5,20170306,1
5,20170313,1
5,20170320,1
5,20170327,1
5,20170403,1
5,20170424,1
5,20161213,1
5,20161220,1
5,20170110,1
5,20170117,1
5,20170124,1
5,20170207,1
5,20170214,1
5,20170221,1
5,20170228,1
5,20170307,1
5,20170314,1
5,20170321,1
5,20170328,1
5,20170404,1
5,20170425,1
5,20161214,1
5,20161221,1
5,20170104,1
5,20170111,1
5,20170118,1
5,20170125,1
5,20170208,1
5,20170215,1
5,20170222,1
5,20170301,1
5,20170308,1
5,20170315,1
5,20170322,1
5,20170329,1
5,20170405,1
5,20170426,1
5,20161215,1
5,20161222,1
5,20170105,1
5,20170112,1
5,20170119,1
5,20170126,1
5,20170209,1
5,20170216,1
5,20170223,1
5,20170302,1
5,20170309,1
5,20170316,1
5,20170323,1
5,20170330,1
5,20170406,1
5,20170427,1
5,20161216,1
5,20170106,1
5,20170113,1
5,20170120,1
5,20170127,1
5,20170210,1
5,20170217,1
5,20170224,1
5,20170303,1
5,20170310,1
5,20170317,1
5,20170324,1
5,20170331,1
5,20170407,1
5,20170428,1
6,20170102,1
6,20170130,1
6,20170410,1
6,20161227,1
6,20170103,1
6,20170131,1
6,20170411,1
6,20170418,1
6,20161228,1
6,20170201,1
6,20170412,1
6,20170419,1
6,20161229,1
6,20170202,1
6,20170413,1
6,20170420,1
6,20161223,1
6,20161230,1
6,20170203,1
6,20170421,1
7,20170414,2
7,20170505,2
7,20170512,2
7,20170519,2
7,20170526,2
7,20170602,2
7,20170609,2
7,20170616,2
7,20170623,2
7,20170630,2
7,20170707,2
7,20170714,2
7,20170721,2
7,20170728,2
7,20170804,2
7,20170811,2
7,20170818,2
7,20170825,2
7,20170901,2
7,20170506,2
7,20170513,2
7,20170520,2
7,20170527,2
7,20170603,2
7,20170610,2
7,20170617,2
7,20170624,2
7,20170701,2
7,20170708,2
7,20170715,2
7,20170722,2
7,20170729,2
7,20170805,2
7,20170812,2
7,20170819,2
7,20170826,2
7,20170902,2
8,20161231,1
9,20170502,2
9,20170509,2
