"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
327_700,47,"B/522","",700,,
328_700,47,"C/523","",700,,
329_700,47,"D/524","",700,,
330_700,47,"E/525","",700,,
331_700,47,"F/526","",700,,
333_700,47,"H/528","",700,,
335_700,47,"W/540","",700,,
336_700,47,"N1","",700,,
337_700,47,"N2","",700,,
340_900,47,"1","",900,,
341_900,47,"2","",900,,
343_900,47,"6","",900,,
5606_700,47,"K/529","",700,,
5607_700,47,"N4","",700,,
15260_700,47,"L/530","",700,,
16589_900,47,"12","",900,,
16934_700,772,"800","",700,,
16935_700,772,"850","",700,,
16936_700,772,"851","",700,,
16937_700,772,"852","",700,,
16938_700,772,"853","",700,,
16939_700,772,"854","",700,,
16940_700,772,"855","",700,,
16941_700,772,"856","",700,,
16942_700,772,"857","",700,,
16943_700,772,"858","",700,,
16944_700,772,"860","",700,,
16945_700,772,"861","",700,,
16946_700,772,"868","",700,,
16947_700,772,"869","",700,,
16948_700,772,"870","",700,,
16949_700,772,"872","",700,,
16950_700,772,"873","",700,,
16951_700,772,"876","",700,,
16952_700,772,"877","",700,,
16953_700,772,"879","",700,,
16954_700,772,"880","",700,,
16955_700,772,"881","",700,,
16956_700,772,"882","",700,,
16957_700,772,"884","",700,,
16958_700,772,"885","",700,,
16959_700,772,"886","",700,,
16960_700,772,"887","",700,,
16961_700,772,"888","",700,,
16962_700,772,"889","",700,,
16963_700,772,"890","",700,,
16964_700,772,"891","",700,,
16965_700,772,"892","",700,,
16966_700,772,"894","",700,,
17543_700,772,"618","",700,,
12531_900,489,"87","",900,,
12532_900,486,"88","",900,,
12533_900,487,"89","",900,,
12708_700,488,"541","",700,,
12709_700,488,"542","",700,,
12710_700,488,"543","",700,,
12711_700,488,"544","",700,,
12712_700,488,"545","",700,,
15296_700,138,"SXF 2","",700,,
16334_100,596,"RB27","",100,,
16335_1000,487,"F39","",1000,,
16339_100,596,"RB26","",100,,
16910_100,596,"RB25","",100,,
16911_100,596,"RB35","",100,,
16914_100,596,"RB60","",100,,
16916_100,596,"RB61","",100,,
16917_100,596,"RB62","",100,,
16919_100,596,"RB63","",100,,
16924_100,596,"RB36","",100,,
17564_100,596,"RB12","",100,,
4491_700,246,"621","",700,,
4492_700,246,"700","",700,,
4493_700,246,"701","",700,,
4495_700,246,"702","",700,,
4496_700,246,"703","",700,,
4497_700,246,"704","",700,,
4498_3,246,"705","",3,,
4498_700,246,"705","",700,,
4499_700,246,"706","",700,,
4501_3,246,"707","",3,,
4501_700,246,"707","",700,,
4502_3,246,"708","",3,,
4503_700,246,"710","",700,,
4504_700,246,"712","",700,,
4505_3,246,"713","",3,,
4505_700,246,"713","",700,,
4507_700,246,"716","",700,,
4508_700,246,"717","",700,,
4509_700,246,"718","",700,,
4511_700,246,"719","",700,,
4512_700,246,"720","",700,,
4514_700,246,"750","",700,,
4515_700,246,"757","",700,,
4516_700,246,"759","",700,,
4517_3,246,"763","",3,,
4517_700,246,"763","",700,,
4518_700,246,"764","",700,,
4519_700,246,"765","",700,,
4520_700,246,"770","",700,,
4521_3,246,"772","",3,,
4521_700,246,"772","",700,,
5270_3,246,"761","",3,,
5270_700,246,"761","",700,,
6617_3,246,"751","",3,,
6617_700,246,"751","",700,,
6618_700,246,"753","",700,,
6620_700,246,"754","",700,,
6621_700,246,"756","",700,,
6622_3,246,"758","",3,,
6622_700,246,"758","",700,,
6624_700,246,"766","",700,,
6625_700,246,"768","",700,,
6626_700,246,"769","",700,,
6629_700,246,"771","",700,,
9696_700,246,"711","",700,,
10911_3,246,"709","",3,,
10911_700,246,"709","",700,,
10912_700,246,"752","",700,,
10913_700,246,"755","",700,,
10914_700,246,"773","",700,,
12043_700,246,"760","",700,,
13728_700,246,"793","",700,,
13729_700,246,"794","",700,,
13730_700,246,"797","",700,,
13888_700,246,"789","",700,,
13889_700,246,"792","",700,,
15710_700,246,"790","",700,,
15711_700,246,"791","",700,,
