stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5100035,,Legnica,,51.2138570,16.1689280,,,0,
8000147,,Hamburg-Harburg,,53.4559080,9.9917030,,,0,
8000168,,Uelzen,,52.9697850,10.5530620,,,0,
8000238,,Lüneburg,,53.2496590,10.4198950,,,0,
8003774,,Lübeck St Jürgen,,53.8423290,10.7029410,,,0,
8010022,,Bad Schandau,,50.9188410,14.1393350,,,0,
8010046,,Beucha,,51.3236250,12.5731380,,,0,
8010051,,Blankenberg(Meckl),,53.7723120,11.7152950,,,0,
8010059,,Borsdorf(Sachs),,51.3457090,12.5411640,,,0,
8010066,,Bützow,,53.8371140,11.9982020,,,0,
8010141,,Grevesmühlen,,53.8574750,11.1847210,,,0,
8010144,,Großbothen,,51.1844550,12.7590430,,,0,
8010210,,Lietzow(Rügen),,54.4809710,13.5100110,,,0,
8010227,,Malchin,,53.7434180,12.7610390,,,0,
8010272,,Pirna,,50.9626230,13.9288890,,,0,
8010273,,Plaaz,,53.8404640,12.3377190,,,0,
8010281,,Pratau,,51.8432640,12.6359620,,,0,
8010284,,Priemerburg,,53.7959800,12.2230280,,,0,
8010292,,Radebeul Ost,,51.0983010,13.6801710,,,0,
8010300,,Rövershagen,,54.1755680,12.2474450,,,0,
8010318,,Schönebeck(Elbe),,52.0188000,11.7331630,,,0,
8010348,,Teterow,,53.7684410,12.5779700,,,0,
8010355,,Velgast,,54.2773230,12.8031390,,,0,
8011017,,Altefähr,,54.3229340,13.1410190,,,0,
8011018,,Altenbach,,51.3558740,12.6823290,,,0,
8011027,,Altenwillershagen,,54.2594120,12.5728230,,,0,
8011140,,Bentwisch,,54.1171960,12.2105170,,,0,
8011150,,Bergwitz,,51.8037030,12.5762260,,,0,
8011190,,Bindfelde,,52.5845680,11.8980440,,,0,
8011215,,Bobitz,,53.8045350,11.3628100,,,0,
8011260,,Brehna,,51.5544590,12.2221740,,,0,
8011281,,Buchenhorst,,54.2682160,12.7126950,,,0,
8011296,,Burgkemnitz,,51.6888180,12.4071780,,,0,
8011339,,Dahlen(Sachs),,51.3509740,12.9842590,,,0,
8011361,,Dessau Süd,,51.8022000,12.2364550,,,0,
8011456,,Eggesin,,53.6818300,14.0730550,,,0,
8011491,,Engelsdorf,,51.3439450,12.4776350,,,0,
8011611,,Gelbensande,,54.1986960,12.3048140,,,0,
8011626,,Gerichshain,,51.3538810,12.5874550,,,0,
8011637,,Glaubitz(Riesa),,51.3175670,13.3654460,,,0,
8011683,,Gräfenhainichen,,51.7247360,12.4600360,,,0,
8011689,,Grambow,,53.4173810,14.3474640,,,0,
8011699,,Greppin,,51.6453570,12.2979740,,,0,
8011702,,Grieben(Meckl),,53.8512390,11.0685780,,,0,
8011705,,Grimma ob Bf,,51.2300780,12.7141380,,,0,
8011763,,Großsteinberg,,51.2505930,12.6374270,,,0,
8011778,,Stralsund-Grünhufe,,54.3042990,13.0439330,,,0,
8011864,,Herrnburg,,53.8377110,10.7600070,,,0,
8011905,,Hohenthurm,,51.5123580,12.0978860,,,0,
8011961,,Jeßnitz(Anh),,51.6825550,12.2773550,,,0,
8012053,,Klosterbuch,,51.1576280,13.0040650,,,0,
8012072,,Königstein(Sächs Schw),,50.9194470,14.0789010,,,0,
8012117,,Kühren,,51.3493430,12.8332060,,,0,
8012138,,Kurort Rathen,,50.9568200,14.0753450,,,0,
8012146,,Lancken,,54.5180370,13.6078870,,,0,
8012147,,Landsberg(b. Halle/Saale),,51.5328990,12.1667150,,,0,
8012198,,Leisnig,,51.1603310,12.9383940,,,0,
8012268,,Lüdersdorf(Meckl),,53.8329310,10.8151500,,,0,
8012284,,Machern(Sachs),,51.3576360,12.6277580,,,0,
8012316,,Martensdorf,,54.3009180,12.9302510,,,0,
8012354,,Miltern,,52.5633510,11.9366260,,,0,
8012376,,Mölln(Meckl),,53.5859380,13.0845160,,,0,
8012377,,Mönchhagen,,54.1435740,12.2253410,,,0,
8012409,,Muldenstein,,51.6677880,12.3540590,,,0,
8012416,,Naunhof,,51.2770940,12.5942410,,,0,
8012421,,Neetzka,,53.5335240,13.5008420,,,0,
8012436,,Neu Wokern,,53.7600360,12.5009190,,,0,
8012523,,Nünchritz,,51.3026560,13.3919760,,,0,
8012555,,Oertzenhof,,53.5180820,13.5731210,,,0,
8012610,,Pasewalk Ost,,53.5095750,14.0093210,,,0,
8012651,,Plüschow,,53.8370670,11.2858470,,,0,
8012683,,Prora,,54.4449910,13.5640620,,,0,
8012684,,Prora Ost,,54.4300660,13.5745270,,,0,
8012704,,Radis,,51.7547090,12.5041910,,,0,
8012711,,Rambin(Rügen),,54.3534320,13.2078190,,,0,
8012758,,Reuterstadt Stavenhagen,,53.7069190,12.9142110,,,0,
8012762,,Ribnitz-Damgarten Ost,,54.2510210,12.4870200,,,0,
8012763,,Ribnitz-Damgarten West,,54.2391840,12.4369710,,,0,
8012788,,Roitzsch(Bitterf),,51.5711700,12.2645450,,,0,
8012832,,Sagard,,54.5243860,13.5649650,,,0,
8012835,,Samtens,,54.3541160,13.2901760,,,0,
8012839,,Sandförde,,53.5639840,13.9712800,,,0,
8012843,,Sassnitz,,54.5162860,13.6379180,,,0,
8012888,,Schmilka-Hirschmühle,,50.8899230,14.2284240,,,0,
8012898,,Schöna,,50.8759030,14.2347180,,,0,
8012902,,Schönberg(Meckl),,53.8533810,10.9278830,,,0,
8012907,,Schönebeck-Bad Salzelmen,,51.9983680,11.7236310,,,0,
8013017,,Sponholz,,53.5638560,13.3664060,,,0,
8013022,,Stadt Wehlen(Sachs),,50.9537220,14.0322510,,,0,
8013062,,Stralsund Rügendamm,,54.3053220,13.1075310,,,0,
8013087,,Tanndorf,,51.1614680,12.8483980,,,0,
8013104,,Teschenhagen,,54.3893680,13.3742460,,,0,
8013131,,Torgelow,,53.6346240,14.0087600,,,0,
8013156,,Ueckermünde Stadthafen,,53.7362060,14.0522390,,,0,
8013162,,Ueckermünde,,53.7339280,14.0540830,,,0,
8013186,,Ventschow,,53.7872080,11.5800240,,,0,
8013295,,Westewitz-Hochweitzschen,,51.1376180,13.0278630,,,0,
8013335,,Wolfen(Bitterfeld),,51.6611580,12.2795650,,,0,
8013361,,Wurzen,,51.3644200,12.7389710,,,0,
8013362,,Bennewitz,,51.3559260,12.7084290,,,0,
8013393,,Zerrenthin,,53.4993980,14.0979010,,,0,
8013461,,Oschatz,,51.3116670,13.1040930,,,0,
8081260,,Schönebeck Süd,,52.0067570,11.7373120,,,0,
8081270,,Schönebeck-Frohse,,52.0339190,11.7073830,,,0,
8089123,,Grambow(Gr),,53.4158080,14.3734030,,,0,
9001103,,Wiebestr./Huttenstr. (Berlin),,52.5283180,13.3202600,,,0,
9001151,,Reuchlinstr. (Berlin),,52.5279030,13.3236370,,,0,
9001152,,Neues Ufer (Berlin),,52.5291030,13.3159810,,,0,
9001154,,Ilsenburger Str. (Berlin),,52.5257560,13.3098400,,,0,
9001155,,Goslarer Platz (Berlin),,52.5257970,13.3142610,,,0,
9001200,,Fennbrücke (Berlin),,52.5383990,13.3609630,,,0,
9001201,,S+U Westhafen (Berlin),,52.5361860,13.3438420,,,0,
9001202,,Am Nordhafen (Berlin),,52.5388540,13.3636160,,,0,
9001203,,Döberitzer Str. (Berlin),,52.5300320,13.3687650,,,0,
9001204,,Lehrter Str./Invalidenstr. (Berlin),,52.5257680,13.3652290,,,0,
9001252,,Friedrich-Krause-Ufer (Berlin),,52.5367430,13.3612220,,,0,
9002101,,Turmstr./Waldstr. (Berlin),,52.5271080,13.3304360,,,0,
9002102,,Turmstr./Beusselstr. (Berlin),,52.5273430,13.3287480,,,0,
9002151,,Wittstocker Str. (Berlin),,52.5308590,13.3285160,,,0,
9002200,,Quitzowstr. (Berlin),,52.5352970,13.3564020,,,0,
9002201,,U Birkenstr. (Berlin),,52.5322320,13.3414230,,,0,
9002202,,Wilsnacker Str. (Berlin),,52.5263670,13.3514110,,,0,
9002203,,Stendaler Str. (Berlin),,52.5324610,13.3505370,,,0,
9002204,,Perleberger Brücke (Berlin),,52.5353320,13.3580390,,,0,
9002205,,Turmstr./Lübecker Str. (Berlin),,52.5262540,13.3455140,,,0,
9002206,,Turmstr./Rathenower Str. (Berlin),,52.5266880,13.3548100,,,0,
9002207,,Stromstr. (Berlin),,52.5291920,13.3440120,,,0,
9002254,,Birkenstr./Rathenower Str. (Berlin),,52.5296570,13.3529120,,,0,
9002255,,Seydlitzstr. (Berlin),,52.5270380,13.3641630,,,0,
9002256,,Poststadion (Berlin),,52.5302850,13.3624360,,,0,
9002257,,Kruppstr. (Berlin),,52.5333900,13.3596440,,,0,
9002258,,Havelberger Str. (Berlin),,52.5310290,13.3476790,,,0,
9003101,,U Hansaplatz (Berlin),,52.5181140,13.3421710,,,0,
9003102,,S Bellevue (Berlin),,52.5199540,13.3471040,,,0,
9003103,,S Tiergarten (Berlin),,52.5139660,13.3362400,,,0,
9003104,,U Turmstr. (Berlin),,52.5259410,13.3414220,,,0,
9003105,,Bachstr. (Berlin),,52.5186020,13.3395780,,,0,
9003107,,Alt-Moabit/Gotzkowskystr. (Berlin),,52.5239330,13.3298980,,,0,
9003152,,Solinger Str. (Berlin),,52.5205510,13.3357330,,,0,
9003155,,Rathaus Tiergarten (Berlin),,52.5260660,13.3391720,,,0,
9003156,,Ottostr. (Berlin),,52.5246850,13.3349300,,,0,
9003174,,U Turmstr. (Berlin) [Bus Turmstr.],,52.5263030,13.3419930,,,0,
9003175,,U Turmstr. (Berlin) [Bus Stromstr.],,52.5258150,13.3430250,,,0,
9003176,,U Turmstr. (Berlin) [Bus Alt-Moabit],,52.5255130,13.3419400,,,0,
9003181,,Zinzendorfstr. (Berlin),,52.5222250,13.3315110,,,0,
9003200,,S+U Berlin Hauptbahnhof (tief),,52.5250460,13.3693910,,,0,
9003201,,S+U Berlin Hauptbahnhof,,52.5258510,13.3689300,,,0,
9003202,,Kirchstr./Alt-Moabit (Berlin),,52.5245450,13.3495870,,,0,
9003203,,Alt-Moabit/Rathenower Str. (Berlin),,52.5236960,13.3570750,,,0,
9003204,,Kleiner Tiergarten (Berlin),,52.5249930,13.3457700,,,0,
9003251,,Paulstr. (Berlin),,52.5200720,13.3556670,,,0,
9003252,,Schloss Bellevue (Berlin),,52.5167190,13.3542090,,,0,
9003253,,Haus der Kulturen der Welt (Berlin),,52.5176020,13.3633700,,,0,
9003254,,U Bundestag (Berlin),,52.5199120,13.3734600,,,0,
9003255,,Clara-Jaschke-Str. (Berlin),,52.5249320,13.3660580,,,0,
9003256,,Spenerstr. (Berlin),,52.5240060,13.3535490,,,0,
9003257,,Lesser-Ury-Weg (Berlin),,52.5242150,13.3619830,,,0,
9003259,,Lüneburger Str. (Berlin),,52.5231400,13.3616550,,,0,
9004101,,Großer Stern (Berlin),,52.5151470,13.3501830,,,0,
9004104,,Reichstag/Bundestag (Berlin),,52.5177200,13.3764850,,,0,
9004105,,Platz der Republik (Berlin),,52.5177900,13.3704470,,,0,
9004151,,Nordische Botschaften/Adenauer-Stiftung (Berlin),,52.5095970,13.3514120,,,0,
9004181,,Hertzallee (Berlin),,52.5092350,13.3326210,,,0,
9005101,,Budapester Str. (Berlin),,52.5065710,13.3456780,,,0,
9005102,,Corneliusbrücke (Berlin),,52.5076240,13.3486710,,,0,
9005103,,Schillstr. (Berlin),,52.5031070,13.3499310,,,0,
9005105,,Lützowplatz (Berlin),,52.5049040,13.3515620,,,0,
9005150,,Tiergartenstr. (Berlin),,52.5097100,13.3619470,,,0,
9005152,,Gedenkstätte Dt. Widerstand (Berlin),,52.5057400,13.3632970,,,0,
9005154,,Köbisstr. (Berlin),,52.5071690,13.3562710,,,0,
9005155,,Hiroshimasteg (Berlin),,52.5067320,13.3574660,,,0,
9005156,,Bayreuther Str. (Berlin),,52.5044330,13.3439630,,,0,
9005201,,U Kurfürstenstr. (Berlin),,52.4998140,13.3628190,,,0,
9005202,,Lützowstr./Potsdamer Str. (Berlin),,52.5034260,13.3660090,,,0,
9005205,,Potsdamer Brücke (Berlin),,52.5059510,13.3683110,,,0,
9005206,,Philharmonie (Berlin),,52.5100840,13.3684400,,,0,
9005207,,Philharmonie Süd (Berlin),,52.5086190,13.3707510,,,0,
9005208,,Varian-Fry-Str. (Berlin),,52.5092970,13.3743070,,,0,
9005252,,U Mendelssohn-Bartholdy-Park (Berlin),,52.5038100,13.3747250,,,0,
9005253,,Schöneberger Brücke (Berlin),,52.5023370,13.3777570,,,0,
9005255,,Kulturforum (Berlin),,52.5075680,13.3691860,,,0,
9005271,,Frobenstr. (Berlin),,52.4994610,13.3598920,,,0,
9006100,,S Wollankstr./Sternstr. (Berlin),,52.5653560,13.3915450,,,0,
9006102,,Prinzenallee/Soldiner Str. (Berlin),,52.5586590,13.3862460,,,0,
9006103,,Residenzstr./Reginhardstr. (Berlin),,52.5601460,13.3705290,,,0,
9006104,,Soldiner Str./Koloniestr. (Berlin),,52.5600860,13.3810560,,,0,
9006105,,Verlängerte Koloniestr. (Berlin),,52.5675480,13.3846530,,,0,
9006153,,St.-Elisabeth-Kirchhof (Berlin),,52.5605020,13.3877640,,,0,
9007102,,S+U Gesundbrunnen Bhf (Berlin),,52.5486410,13.3883770,,,0,
9007103,,U Voltastr. (Berlin),,52.5419340,13.3931630,,,0,
9007104,,S Nordbahnhof (Berlin),,52.5316770,13.3888000,,,0,
9007105,,Wolliner Str. (Berlin),,52.5397740,13.4018050,,,0,
9007106,,Usedomer Str./Feldstr. (Berlin),,52.5392370,13.3871370,,,0,
9007107,,Ruppiner Str. (Berlin),,52.5390880,13.3989830,,,0,
9007108,,S Nordbahnhof/Gartenstr. (Berlin),,52.5333640,13.3874970,,,0,
9007110,,U Bernauer Str. (Berlin),,52.5379970,13.3962360,,,0,
9007111,,Lortzingstr. (Berlin),,52.5443070,13.3991790,,,0,
9007112,,Gartenplatz (Berlin),,52.5384250,13.3842820,,,0,
9007113,,Theodor-Heuss-Weg (Berlin),,52.5349560,13.3858670,,,0,
9007114,,Gartenstr./Feldstr. (Berlin),,52.5365250,13.3838240,,,0,
